QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Psychology,,,,,,,,,
,,,,Institutions Considered,,995,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 330 Universities - Psychology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
151-200,151-200,The University of Adelaide,Australia,54.6,70.5,83.7,78.6,51.9,
151-200,201-250,The University of Georgia,United States,55.1,55.1,84,89.1,47.3,
151-200,201-250,"The University of Newcastle, Australia (UON)",Australia,56.4,68.9,81.3,78,26.9,
151-200,201-250,Universidad de los Andes,Colombia,66,83.8,53.3,60.6,30.3,
151-200,151-200,Universitat de Valencia,Spain,58.6,59.9,80.6,83.7,54.8,
151-200,101-150,Universität Hamburg,Germany,60.1,61.6,79.6,82.2,44.4,
151-200,151-200,Universite libre de Bruxelles,Belgium,61,65.4,80.5,76.8,42.7,
151-200,151-200,University College Dublin,Ireland,58.8,73,78.3,76.4,33.7,
151-200,151-200,University of Alberta,Canada,60.2,64.5,79.2,81.7,40.5,
151-200,151-200,University of Bergen,Norway,56.6,50.6,85.6,80.9,57.6,
151-200,151-200,University of Bern,Switzerland,55.7,62.3,83.7,82.5,63,
151-200,151-200,University of Colorado Boulder,United States,59,59.8,87.6,81.7,36.4,
151-200,101-150,University of Connecticut,United States,59.5,45.2,84,87.6,58.5,
151-200,151-200,University of Florida,United States,61.2,58.4,80.6,86.2,51.6,
151-200,151-200,University of Granada,Spain,61.5,60.3,77.9,80.1,56.3,
151-200,151-200,University of Jyväskylä,Finland,67.2,42.3,81.2,78.6,53,
151-200,101-150,University of Liverpool,United Kingdom,55.8,69.6,82.8,80.4,46.2,
151-200,151-200,University of Miami,United States,49.3,59,81.6,84.8,73.9,
151-200,151-200,University of Milano-Bicocca ,Italy,59.2,59.8,82.2,81.4,44.9,
151-200,151-200,University of Oregon,United States,57,65.8,82.8,81.7,43.7,
151-200,151-200,University of Ottawa,Canada,54.4,62.6,80,84.4,52.5,
151-200,151-200,University of Reading,United Kingdom,53.3,66.8,84,77.4,43.7,
151-200,101-150,University of Rochester,United States,53.7,56.8,86.6,85.7,44.9,
151-200,201-250,University of Trento,Italy,58.5,57.6,79.7,77.1,47,
151-200,151-200,University of Warsaw ,Poland,59.9,63.3,81.2,78.3,29.2,
151-200,151-200,Uppsala University,Sweden,55,62,79.5,78.3,48.9,
151-200,201-250,Westfälische Wilhelms-Universität Münster ,Germany,54.5,55.3,85.1,82.7,48.3,
151-200,201-250,Wuhan University,China (Mainland),54.4,75.5,71,72.4,45.8,
201-250,151-200, Western Sydney University,Australia,49.3,56.9,79.7,82,74.8,
201-250,201-250,Albert-Ludwigs-Universitaet Freiburg,Germany,55.2,50.9,79.8,77.7,52.2,
201-250,201-250,Aston University,United Kingdom,60.9,62.8,75,72.8,27.9,
201-250,151-200,City University of New York,United States,55.7,52.2,76.8,84.6,54.4,
201-250,251-300,Dalhousie University,Canada,50.8,58.5,81.9,78.9,49.9,
201-250,201-250,Dartmouth College,United States,57.3,63.1,80.3,76.8,16.6,
201-250,201-250,East China Normal University,China (Mainland),57,53.3,79.8,78.3,38.8,
201-250,201-250,EPFL,Switzerland,60.2,82.1,57.1,61.3,25.6,
201-250,201-250,Flinders University,Australia,51.1,56.9,83.3,80.4,43.7,
201-250,251-300,George Washington University,United States,52,62.3,78.8,80.1,40.5,
201-250,201-250,Georgetown University,United States,52.3,65.6,78.7,75.4,33.4,
201-250,201-250,Georgia Institute of Technology,United States,55.8,70.8,81.9,78.3,21.5,
201-250,201-250,Goethe-University Frankfurt am Main,Germany,53.3,61.9,79.6,78.3,48.8,
201-250,151-200,"Goldsmiths, University of London",United Kingdom,58,57.2,80,76.1,43.2,
201-250,201-250,Griffith University,Australia,56.5,59.6,79.5,83,37.1,
201-250,201-250,Linköping University,Sweden,50.5,58.9,86.3,81.2,35.9,
201-250,301-330,Nanjing University,China (Mainland),55.3,66.7,72.2,74.7,34.5,
201-250,151-200,Northeastern University,United States,50.7,55.9,87.8,84.4,46.1,
201-250,201-250,Norwegian University of Science And Technology,Norway,54.3,55.3,81.2,81.4,50.7,
201-250,201-250,Pontificia Universidad Católica del Perú,Peru,65.8,79.8,41.2,55.2,37,
201-250,201-250,Queen Mary University of London,United Kingdom,53.7,67.8,76.2,72.4,43.9,
201-250,201-250,Royal Holloway University of London,United Kingdom,50.6,56.9,84.4,79.5,50.5,
201-250,201-250,Rutgers University–New Brunswick,United States,51,57.7,80,83.2,40.4,
201-250,201-250,Simon Fraser University,Canada,56.5,60.6,79.7,80.1,38.2,
201-250,201-250,Swansea University,United Kingdom,54.6,67.5,76.4,75.4,44.3,
