QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Engineering - Civil & Structural,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,1220,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.4,,,
,,,,Employer,0.3,,,
,,,,Citations,0.15,,,
,,,,H,0.15,,,
Top 240 Universities - Engineering - Civil & Structural,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
151-200,151-200,Chulalongkorn University,Thailand,62.4,62.1,75.2,63.8,
151-200,151-200,Colorado State University,United States,61.2,56.3,81.8,70.5,
151-200,151-200,Heriot-Watt University,United Kingdom,60,72.4,78.8,67,
151-200,151-200,Hokkaido University,Japan,63.7,61.5,77.1,64.5,
151-200,151-200,Indian Institute of Technology Guwahati (IITG),India,63.1,65.3,77.6,65.8,
151-200,151-200,Institut National des Sciences Appliquées de Lyon (INSA),France,60.9,62.1,86.7,68.8,
151-200,201-230,Iowa State University,United States,50.4,64.4,87.1,79.7,
151-200,151-200,Johns Hopkins University,United States,62.4,65.4,75.2,64.5,
151-200,151-200,Jordan University of Science & Technology,Jordan,59.6,72,78.2,67.6,
151-200,151-200,Khalifa University of Science and Technology,United Arab Emirates,55.4,73.1,85,68.8,
151-200,151-200,McMaster University,Canada,57.9,69,78.6,65.8,
151-200,101-150,Michigan State University,United States,63.9,61.9,85.7,73.6,
151-200,151-200,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,57.2,65.6,78.8,65.8,
151-200,201-230,National University of Sciences And Technology (NUST) Islamabad,Pakistan,52.2,67.9,85.4,69.9,
151-200,151-200,New York University (NYU),United States,61.1,73.2,80.4,63.8,
151-200,151-200,North Carolina State University,United States,62,62.2,84.4,71.6,
151-200,151-200,Qatar University,Qatar,56.6,64.2,91.7,74.1,
151-200,151-200,Queen's University Belfast,United Kingdom,58.1,59.1,85.9,71,
151-200,151-200,Technical University of Darmstadt,Germany,67.6,58.3,75.5,58.4,
151-200,151-200,Technische Universität Braunschweig,Germany,62,57.2,82.8,72.6,
151-200,151-200,The Ohio State University,United States,57.1,61,92,74.1,
151-200,151-200,The University of Exeter,United Kingdom,61.4,60.8,88.8,72.6,
151-200,151-200,Tianjin University,China (Mainland),58.5,57.9,87.6,89.7,
151-200,151-200,Tohoku University,Japan,65.5,63.6,79.3,63.8,
151-200,151-200,United Arab Emirates University,United Arab Emirates,57,73.4,74.2,56.7,
151-200,,Universidad de Buenos Aires (UBA),Argentina,62.2,84.4,53,41.7,
151-200,101-150,Universidad Nacional de Colombia,Colombia,61.6,79.6,70.3,57.6,
151-200,151-200,Università degli Studi di Pavia,Italy,62.2,52.4,89,77.2,
151-200,151-200,Università di Padova,Italy,59.3,64.7,81.8,76.3,
151-200,151-200,Université Grenoble Alpes,France,65.7,52.3,84.5,69.9,
151-200,151-200,Université PSL,France,56.4,69.5,80,59.3,
151-200,151-200,Universiti Kebangsaan Malaysia (UKM),Malaysia,60.6,65.2,83.5,70.5,
151-200,151-200,Universiti Putra Malaysia (UPM),Malaysia,58.7,64,86.1,67.6,
