QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Geology,,,,,,,,,
,,,,Institutions Considered,,1078,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 240 Universities - Geology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
151-200,,University of Gothenburg,Sweden,65,41.8,92.2,80.5,51.1,
151-200,151-200,University of Granada,Spain,65.4,63.9,82.4,77,61.9,
151-200,151-200,University of Groningen,Netherlands,56.8,61.5,94,81.1,62.7,
151-200,201-230,University of Lisbon ,Portugal,55,54,86.4,85.8,67.5,
151-200,151-200,University of Liverpool,United Kingdom,72.9,68.3,86.3,75.4,48.6,
151-200,151-200,University of Milano-Bicocca ,Italy,60.1,55.2,90.5,80.5,54.5,
151-200,201-230,University of Naples - Federico II,Italy,64.1,63.4,83.9,79.4,69.6,
151-200,151-200,"University of North Carolina, Chapel Hill",United States,62.1,64.8,90.2,77,56.9,
151-200,151-200,University of Nottingham,United Kingdom,57.1,75.7,88.5,78.9,52.8,
151-200,151-200,University of Utah,United States,59.8,55.8,90.3,82.7,58.3,
151-200,101-150,University of Victoria (UVic),Canada,60.2,64.2,92,83.9,53,
151-200,151-200,University of Virginia,United States,60.8,60.4,91.9,79.8,56.3,
151-200,151-200,University of Waterloo,Canada,63.9,73.7,88.6,81.3,45.9,
151-200,151-200,University of Wollongong,Australia,64.4,63,86,77,54.4,
151-200,101-150,Yonsei University,South Korea,69.9,74.9,83.6,74.3,46.1,
151-200,151-200,Zhejiang University,China (Mainland),70.7,79,79.7,81.3,46.4,
201-240,201-230,Aberystwyth University,United Kingdom,59,66.2,87.5,74.6,47.5,
201-240,151-200,Boston University,United States,60.6,58.8,87.9,78.2,56.1,
201-240,,Charles University,Czech Republic,62.7,51.9,81.5,77.5,62.8,
201-240,201-230,Eötvös Loránd University,Hungary,56.8,58.5,86.7,77.2,53,
201-240,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,58.2,56.8,84.8,74.3,66.5,
201-240,201-230,George Mason University,United States,52.4,52.7,93.5,82.5,56.2,
201-240,151-200,Indian Institute of Science,India,64.5,79.8,84.2,73.1,35,
201-240,,Indian Institute of Technology Kharagpur (IIT-KGP),India,68,79.7,82.5,74,33.3,
201-240,,Iowa State University,United States,55.8,73.3,89.9,77.5,53.2,
201-240,,Istanbul Technical University,Turkey,63.1,66.5,81.6,73.7,48.3,
201-240,151-200,King Abdulaziz University (KAU),Saudi Arabia,58.8,68.2,86.8,77,57.9,
201-240,,King's College London,United Kingdom,60.6,66.7,87.2,76.5,37.9,
201-240,,National Central University,Taiwan,62.4,65.5,83,73.4,58.6,
201-240,201-230,Norwegian University of Science And Technology,Norway,72.7,70.9,76.1,70.6,49.5,
201-240,151-200,Ocean University of China,China (Mainland),74,42.1,79.3,84,41.3,
201-240,151-200,Queen's University at Kingston,Canada,68.8,73.4,83.5,72.5,43.1,
201-240,151-200,Rice University,United States,64.9,60.7,89.5,77.2,42.9,
201-240,151-200,RWTH Aachen University,Germany,65,66.6,82.5,73.4,55.6,
201-240,201-230,"Stony Brook University, State University of New York",United States,58.9,43.3,97.3,80.9,42.2,
201-240,151-200,The University of Sheffield,United Kingdom,61.9,61.3,88.6,77.2,53.1,
201-240,,Università degli studi Roma Tre,Italy,69.5,56.6,82,72.2,47.4,
201-240,201-230,Université de Montréal ,Canada,60.5,69.6,88.3,76.5,46.6,
201-240,151-200,Université de Rennes 1 (University of Rennes),France,62.2,49.1,87.1,75.7,59.5,
201-240,201-230,University of Alaska Fairbanks,United States,61.7,50.6,88.6,80.2,42,
201-240,151-200,University of Cologne,Germany,61.4,52.2,86.8,79.8,61.4,
201-240,151-200,University of Delaware,United States,66.1,51.4,82.5,74.3,60.9,
201-240,151-200,"University of Maryland, Baltimore County",United States,53.3,51.1,93.1,80.9,57.5,
