QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Politics & International Studies,,,,,,,,
Faculty Area,,Social Sciences & Management,,Institutions Considered,,1031,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.5,,,
,,,,Employer,0.3,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
Top 250 Universities - Politics & International Studies,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
101-150,101-150,University of Helsinki,Finland,64,52.2,81,72.3,
101-150,101-150,University of Leeds,United Kingdom,55.1,70.6,87.3,80.7,
101-150,101-150,University of Milan,Italy,58.8,62.8,84.2,75.1,
101-150,101-150,University of Nottingham,United Kingdom,58.1,68.8,86.6,77.6,
101-150,151-200,University of Pittsburgh,United States,57.9,58,89.5,76.8,
101-150,101-150,University of Southern California,United States,55.6,62.7,90.4,76.8,
101-150,101-150,University of Washington,United States,57.5,66.3,92.8,76.8,
101-150,101-150,University of Wisconsin-Madison,United States,58.5,64,93.2,79.2,
101-150,51-100,Utrecht University,Netherlands,57.2,60.4,98.4,93.6,
101-150,101-150,Vrije Universiteit Brussel (VUB),Belgium,60.1,62.2,87.3,77.6,
101-150,151-200,Washington University in St. Louis,United States,61.7,54,85.2,72.3,
101-150,101-150,Zhejiang University,China (Mainland),51.4,77.3,82,61.7,
151-200,151-200,Arizona State University,United States,44.5,65.3,93.8,88.7,
151-200,,Colegio de México,Mexico,68.9,52.9,48.9,46.7,
151-200,151-200,Copenhagen Business School,Denmark,46.7,62.9,91.4,79.2,
151-200,101-150,Dartmouth College,United States,52.7,62.5,94.2,76.8,
151-200,151-200,Dublin City University,Ireland,52.2,63.9,82.6,72.3,
151-200,151-200,Gadjah Mada University,Indonesia,58.1,72.5,56.3,51.3,
151-200,151-200,Goethe-University Frankfurt am Main,Germany,55.9,57.8,87.2,76.8,
151-200,151-200,Griffith University,Australia,52.3,56,86.6,78.4,
151-200,151-200,Koç University,Turkey,48.8,63.2,81.3,73.3,
151-200,151-200,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,61.9,65.4,44.5,38,
151-200,151-200,Michigan State University,United States,49.4,65.9,90.7,76.8,
151-200,151-200,Pennsylvania State University,United States,46.8,68.3,89.7,82.7,
151-200,151-200,Pontificia Universidad Javeriana,Colombia,58.9,76.4,52,41.2,
151-200,151-200,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,60.8,62.6,51.7,46.7,
151-200,151-200,Queen's University Belfast,United Kingdom,57.1,61.1,79.4,72.3,
151-200,151-200,Rice University,United States,55,57,76.8,65.7,
151-200,151-200,Royal Holloway University of London,United Kingdom,54,59.7,83.3,74.2,
151-200,101-150,RUDN University,Russia,59.3,74.7,58.9,41.2,
151-200,201-230,Scuola Normale Superiore di Pisa,Italy,51.1,58.3,89.4,80.7,
151-200,,Shanghai Jiao Tong University,China (Mainland),51.3,76.4,73.4,57,
151-200,101-150,Sorbonne University,France,64.4,73.3,34.8,25.1,
151-200,151-200,Tecnológico de Monterrey,Mexico,55.2,83.6,37.5,34.3,
151-200,201-230,The Hebrew University of Jerusalem,Israel,57.4,54.3,85.1,73.3,
151-200,151-200,Tufts University,United States,62.8,52.3,78.6,68.1,
151-200,151-200,Universidad Autónoma de Madrid,Spain,52.4,71,78.4,66.9,
151-200,151-200,Universidad de la República (Udelar),Uruguay,65.6,61.3,54.8,46.7,
151-200,151-200,Universidad Diego Portales (UDP),Chile,55,65.1,74.9,63.1,
151-200,201-230,Universidade de Brasília,Brazil,61.9,52.9,76.1,66.9,
151-200,151-200,Universidade Estadual de Campinas (Unicamp),Brazil,58.5,67.9,51.3,44.1,
151-200,101-150,Universidade Federal do Rio de Janeiro,Brazil,57.1,69.1,65.9,57,
151-200,151-200,Universitat de Barcelona,Spain,51.3,68.9,78.4,68.1,
151-200,151-200,Universität Hamburg,Germany,56,57.7,83.5,71.3,
151-200,151-200,Université Grenoble Alpes,France,62.3,51.6,67.3,63.1,
151-200,151-200,Universiti Malaya (UM),Malaysia,58.2,67.4,68.5,49.1,
151-200,201-230,University College Cork,Ireland,51.7,66.1,71.8,63.1,
151-200,201-230,University of Alberta,Canada,51.4,67.5,78.7,64.4,
