Top 500 Universities - Arts & Humanities,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
=258,231=,University of Wollongong,Australia,67,61.5,82.5,77.9,60,67.5
=261,451-500,Indian Institute of Technology Bombay (IITB),India,66.1,84.5,65.6,61.7,26.3,67.4
=261,341=,National Chengchi University,Taiwan,74,57.7,65.2,68.8,27.4,67.4
=261,320=,Texas A&M University,United States,63.9,74.9,77.4,80.3,45.1,67.4
=261,197=,Universität Leipzig,Germany,76.7,45.5,71.6,70,32.7,67.4
=261,293=,University of Naples - Federico II,Italy,72.8,58.3,66.9,72.3,31.8,67.4
=266,352=,Swansea University,United Kingdom,67.5,65.1,77.3,72.3,50.6,67.3
=266,206  ,University of Gothenburg,Sweden,73,47.4,76.1,79.5,46.4,67.3
=268,329  ,Tohoku University,Japan,70.3,69.7,65.3,64.8,27.4,67.2
=268,310=,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,69.2,64.9,78.5,71.2,29.2,67.2
=268,231=,University of Basel,Switzerland,73.9,48.3,75.6,72.3,41.8,67.2
=268,274=,"University of California, Santa Cruz",United States,71.5,52.2,85.8,77.1,33.2,67.2
272,236=,Gadjah Mada University,Indonesia,76.3,67.5,50.6,51.4,3.5,67.1
=273,218=,Sciences Po ,France,72.8,59.3,66.9,66.2,29.3,67
=273,283=,Universidad Diego Portales (UDP),Chile,73,61.6,61.5,60,36,67
=273,201=,Université Paris Cité,France,71.3,47.8,72.5,81.8,62.7,67
=273,215=,Université Sorbonne Nouvelle Paris 3,France,82.4,35.1,53.9,56.1,45,67
=273,247=,University of Aberdeen,United Kingdom,70.2,59.4,75.1,70,41.8,67
=273,212  ,Vrije Universiteit Amsterdam,Netherlands,71.4,49.1,79.9,82.5,43.6,67
=273,213=,Westfälische Wilhelms-Universität Münster ,Germany,76.2,38.6,73.9,77.1,44.4,67
=280,278=,University of East Anglia (UEA),United Kingdom,71.2,51.4,79.1,78.7,41.4,66.9
=280,261  ,University of Porto,Portugal,72.4,52,72,74.3,41.4,66.9
=282,297=,Emory University,United States,69.8,56.5,75.7,77.9,41.6,66.8
=282,401-450,Nagoya University,Japan,69.1,65.8,84.9,68.8,13.5,66.8
=282,356=,University of Bath,United Kingdom,65.7,66.1,83.2,77.1,42.7,66.8
=282,262=,University of Florida,United States,67.6,60.9,77.4,81,42.8,66.8
=286,316=,Technische Universität Berlin (TU Berlin),Germany,67.5,67.2,78.2,70,30.2,66.6
=286,289=,Universitat de Valencia,Spain,71.7,55.7,66.2,72.3,40.5,66.6
=288,336  ,California Institute of Technology (Caltech),United States,61.5,86.1,77.9,68.8,27.4,66.5
=288,243=,"Sofia University ""St. Kliment Ohridski""",Bulgaria,77,57.3,50.1,51.4,25.5,66.5
=288,254=,Università degli studi Roma Tre,Italy,77.2,45.9,63.3,64.8,27.8,66.5
=288,262=,Université Grenoble Alpes,France,70.1,54.5,74.1,75.3,45.7,66.5
=288,251=,University College Cork,Ireland,71.8,60.2,72.2,66.2,20,66.5
=288,333=,University of Huddersfield,United Kingdom,70.5,56.3,72.7,71.2,42,66.5
=294,281=,Istanbul University,Turkey,74.2,61.9,53,53.8,30.1,66.4
=294,187=,Rhode Island School of Design (RISD),United States,84.5,49.8,38.3,37.6,,66.4
=294,231=,University of Kent,United Kingdom,70.3,55.6,76.4,77.1,32.4,66.4
=294,341=,University of Waterloo,Canada,62,77.9,82.8,81,25.9,66.4
=298,,Chung-Ang University (CAU),South Korea,73.7,60,68.3,64.8,1.2,66.3
=298,262=,Dartmouth College,United States,69.3,62.3,76.7,75.3,17.4,66.3
=298,302=,Griffith University,Australia,69.2,53.8,76.4,78.7,48.7,66.3
=298,310=,Universidad de la República (Udelar),Uruguay,74.4,63.5,50.8,53.8,21.6,66.3
=302,283=, Western Sydney University,Australia,69,54.2,75.3,77.1,50.4,66.2
=302,401-450,Université Paris-Saclay,France,61.4,73.5,78.2,80.3,56,66.2
=302,310=,Universiti Putra Malaysia (UPM),Malaysia,71.2,63.7,66.1,63.3,20.8,66.2
=302,227=,University of Connecticut,United States,68.9,51.9,82.7,77.9,48.2,66.2
=306,260  ,Universidad Iberoamericana IBERO,Mexico,75.5,72,39.4,45.5,,66.1
=306,394=,Universiti Teknologi Malaysia ,Malaysia,68.5,62.5,73.9,73.3,29.3,66.1
=306,356=,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,68.7,60,72.8,71.2,42.5,66.1
=309,451-500,Hongik University ,South Korea,77.4,50.2,55.5,53.8,27.4,66
=309,,Istanbul Technical University,Turkey,65.8,76.5,68.1,63.3,27.4,66
=309,283=,Johannes Gutenberg Universität Mainz,Germany,74,40.7,72.4,76.2,46.5,66
=312,316=,Curtin University,Australia,66,59.2,83.8,83.1,39.1,65.9
=312,333=,Stellenbosch University,South Africa,67.1,56.4,69.2,68.8,79.5,65.9
=312,254=,Universidade Nova de Lisboa,Portugal,73,51.2,69.1,70,29.3,65.9
