QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Pharmacy & Pharmacology,,,,,,,,,
,,,,Institutions Considered,,1040,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 360 Universities - Pharmacy & Pharmacology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
201-250,,Aarhus University,Denmark,57.9,59.1,81.5,78.8,54.3,
201-250,251-300,Ajman University,United Arab Emirates,71.6,81.3,63.4,68.7,27,
201-250,201-250,Ajou University ,South Korea,64.8,58.1,79.7,79.9,22.6,
201-250,151-200,Chung-Ang University (CAU),South Korea,63.6,55.3,82.8,80.7,32.5,
201-250,201-250,Hacettepe University ,Turkey,52,66.6,84.6,82,57.3,
201-250,151-200,Huazhong University of Science and Technology,China (Mainland),54.6,57.4,91.5,92.6,30.2,
201-250,201-250,Jagiellonian University,Poland,51,58.6,86.2,85.3,66.8,
201-250,251-300,Jordan University of Science & Technology,Jordan,68.1,69.7,72.2,73.5,28.9,
201-250,251-300,Julius-Maximilians-Universität Würzburg,Germany,56.9,41.4,86.5,84.5,59.4,
201-250,151-200,Lund University,Sweden,56.1,72.2,80.8,77.9,53.4,
201-250,201-250,Mansoura University,Egypt,54.2,59.2,85.3,84.1,45.9,
201-250,251-300,Nagoya University,Japan,65.4,62.8,74.6,76,31.1,
201-250,201-250,North Carolina State University,United States,57.5,58.7,84.3,82,37,
201-250,151-200,Northeastern University,United States,50.6,60,89,85.7,52.2,
201-250,151-200,Panjab University,India,64.7,49.6,85.8,84.5,25.1,
201-250,,Pennsylvania State University,United States,55.5,73.3,86,83.9,41.1,
201-250,,Pontificia Universidad Católica de Chile (UC),Chile,65.1,81.9,72.4,77,31.9,
201-250,151-200,Quaid-i-Azam University,Pakistan,55,62.6,87.6,85.1,44.9,
201-250,251-300,Taylor's University,Malaysia,69.7,62.5,69.6,76.6,28.9,
201-250,201-250,Tehran University of Medical Sciences,"Iran, Islamic Republic of",50.6,23.2,88.2,95.1,64,
201-250,151-200,"The University of Newcastle, Australia (UON)",Australia,55.5,61.6,88.5,85.1,39.8,
201-250,,The University of Sheffield,United Kingdom,51.3,66.1,85.9,83.4,49.6,
201-250,201-250,UNESP,Brazil,52.4,70.4,85.3,84.1,47.7,
201-250,201-250,United Arab Emirates University,United Arab Emirates,58.5,68.6,75.6,78.2,53.1,
201-250,201-250,Universidade Federal de Minas Gerais      ,Brazil,55.3,54.2,85.8,83.6,41.7,
201-250,251-300,Universita' degli Studi di Ferrara,Italy,56.5,55.1,83.9,82.5,52.2,
201-250,151-200,Universität Hamburg,Germany,58.3,62.3,83.8,81,50.2,
201-250,151-200,Universität Innsbruck,Austria,58.6,47.3,83.1,82.7,43.6,
201-250,151-200,Universite libre de Bruxelles,Belgium,57.1,62.1,76.6,76.3,60.3,
201-250,251-300,Université Paul Sabatier Toulouse III,France,53.4,46,84.8,82,65.4,
201-250,151-200,University at Buffalo SUNY,United States,54.8,63.3,87.4,85.7,47.5,
201-250,201-250,University of Antwerp,Belgium,47.8,56.2,88.5,83.4,69.2,
201-250,251-300,University of Belgrade,Serbia,52.1,46.4,80.6,84.3,70.6,
201-250,201-250,University of Bordeaux,France,57.9,53.9,86.2,82.5,49.8,
201-250,201-250,"University of California, Santa Barbara (UCSB)",United States,59.3,68.6,80.7,81.5,29.7,
201-250,251-300,University of Cincinnati,United States,55,66,87.9,84.9,37.1,
201-250,151-200,University of Kansas,United States,58.9,61.9,87.1,83.4,34.7,
201-250,151-200,University of Kentucky,United States,61.6,45.5,84.5,84.1,38.9,
201-250,201-250,University of Lausanne,Switzerland,53.1,50.5,90.2,85.1,43.6,
201-250,151-200,University of Manitoba,Canada,57.1,58.1,88.7,84.5,35.6,
201-250,,University of Rochester,United States,58.9,49.4,83.1,82,44.7,
201-250,201-250,"University of Rome ""Tor Vergata""",Italy,51.6,70.7,84.8,82,44.7,
201-250,,University of Science and Technology of China,China (Mainland),57.1,66.5,88.3,86.3,23.4,
201-250,251-300,University of South Florida,United States,56.4,26.8,88.5,85.3,56.6,
201-250,251-300,University of Waterloo,Canada,70.3,65.4,78.4,79.1,12.9,
201-250,,Vellore Institute of Technology (VIT),India,57.9,70.6,82.8,81.2,30.2,
201-250,151-200,Virginia Commonwealth University,United States,52.7,49.9,86.7,85.3,63,
201-250,201-250,Westfälische Wilhelms-Universität Münster ,Germany,53,58.3,84.5,81.5,63.7,
201-250,201-250,Xi’an Jiaotong University,China (Mainland),53.7,66,90.8,88.9,22.8,
251-300,251-300,Aix-Marseille University,France,45.3,46.5,90.7,84.5,58,
251-300,301-350,Al Ain University,United Arab Emirates,69.8,55,66.8,66,28.1,
251-300,,Al-Azhar University,Egypt,52.3,54.6,86.4,84.9,42,
251-300,201-250,Albert-Ludwigs-Universitaet Freiburg,Germany,52.6,59.4,85.9,81.5,45.6,
251-300,251-300,American University of Beirut (AUB),Lebanon,56.8,72,74.2,76.3,32.8,
251-300,251-300,Banaras Hindu University,India,56.9,61.8,80.2,80.2,24.1,
251-300,251-300,Chiang Mai University,Thailand,57.2,55.3,79.1,78.8,42.6,
251-300,251-300,Christian-Albrechts-University zu Kiel,Germany,54.7,51.4,81.5,80.2,45.8,
251-300,201-250,Chungnam National University,South Korea,53.7,51.6,85.1,81,39.3,
251-300,,COMSATS University Islamabad,Pakistan,46.8,55.5,85.6,82,51.7,
251-300,201-250,Dalhousie University,Canada,52.4,58,82.1,82.5,38.1,
251-300,301-350,Georgetown University,United States,53,64.2,79.8,79.9,32.5,
251-300,201-250,Instituto Politécnico Nacional (IPN),Mexico,60.6,68.6,76.4,74.9,38.7,
251-300,251-300,International Islamic University Malaysia (IIUM),Malaysia,58.8,57.4,73.6,76.3,38,
251-300,251-300,Jadavpur University,India,58.4,57.2,76.4,79.1,28.8,
251-300,301-350,Jilin University,China (Mainland),51.2,60.8,86.3,88.4,19.9,
251-300,201-250,Jouf University,Saudi Arabia,58.8,41.5,81.9,81.5,37.8,
251-300,251-300,Keio University,Japan,61.3,61,76,76.6,22.9,
251-300,151-200,Kyung Hee University,South Korea,53,56.2,85.5,84.1,43.8,
251-300,251-300,Liverpool John Moores University,United Kingdom,50.7,47.9,80.4,81.2,54.5,
251-300,251-300,Lovely Professional University (LPU),India,49,57,82.7,82.7,47.7,
251-300,151-200,Mashhad University of Medical Sciences,"Iran, Islamic Republic of",40.5,41,93.5,96.5,58.6,
251-300,201-250,Michigan State University,United States,50.5,68.2,86,82.9,42.1,
251-300,,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,67.6,70.2,62.8,70.5,34,
251-300,251-300,National Cheng Kung University (NCKU),Taiwan,58.3,69,85.5,76,23,
251-300,,Peking Union Medical School,China (Mainland),50.4,45.4,84,93.5,36.6,
251-300,,RUDN University,Russia,70.8,69.8,61.4,66,39,
251-300,201-250,Semmelweis University,Hungary,51.8,54.6,82.2,80.2,62.8,
251-300,,Technische Universität Dresden,Germany,53.9,60,83.6,81,49.4,
251-300,251-300,Texas A&M University,United States,48.1,63.5,91,84.5,40,
251-300,201-250,The Hebrew University of Jerusalem,Israel,55.5,52.1,81.3,82.7,35.8,
251-300,251-300,Ulster University,United Kingdom,51.6,61.3,79.1,82,54.5,
251-300,251-300,Umm Al-Qura University ,Saudi Arabia,56.4,58.2,80.7,77.6,34.2,
251-300,351-360,Universidad de Concepción,Chile,54.4,71.1,72.8,76.3,62.1,
251-300,201-250,Universidad de Sevilla,Spain,53.5,61.3,81.1,81.5,50.1,
251-300,201-250,Universidade Federal do Rio Grande Do Sul ,Brazil,54.4,49.6,86,82.9,36.4,
251-300,251-300,Università degli Studi di Perugia,Italy,50.6,49.6,86.5,83.9,35.3,
251-300,201-250,Université Grenoble Alpes,France,55.7,62.7,78.6,79.4,51.1,
251-300,301-350,Universiti Teknologi MARA - UiTM,Malaysia,58,53.9,77,77.9,36.2,
251-300,201-250,University of East Anglia (UEA),United Kingdom,55,51.8,85.7,83.9,36.2,
251-300,201-250,University of Galway,Ireland,53.6,65.2,83.5,82.5,40,
251-300,251-300,University of Genoa,Italy,47,49.6,87.9,82.2,61.1,
