2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
151-200,151-200,Loughborough University,United Kingdom,65,69.8,76.9,66,,49.9
151-200,101-150,Michigan State University,United States,64.3,70.9,83.9,65.2,,45.2
151-200,151-200,Middle East Technical University,Turkey,65.9,69.4,75.7,64.7,,31.9
151-200,151-200,Nagoya University,Japan,62.2,69.6,80.3,71.8,,50.2
151-200,151-200,National Cheng Kung University (NCKU),Taiwan,62.5,67.4,84.6,71.1,,41.3
151-200,151-200,National Technical University of Athens,Greece,65,67.3,80,71.8,,58.2
151-200,201-250,New York University (NYU),United States,61.1,69.4,86.1,64.7,,46.2
151-200,151-200,Qatar University,Qatar,55.3,63.1,89.3,74.6,,85.7
151-200,151-200,Queen's University Belfast,United Kingdom,64.6,65.2,81.5,68.9,,58.8
151-200,151-200,RMIT University,Australia,55.5,66.3,87.3,77.4,,63
151-200,251-300,Sichuan University,China (Mainland),56.4,63.7,86.5,87.5,,53.7
151-200,88  ,Sungkyunkwan University(SKKU),South Korea,59.5,68.8,85,80.6,,48
151-200,,Technical University of Darmstadt,Germany,71.3,60.6,77.6,66,,65.6
151-200,151-200,Tecnológico de Monterrey,Mexico,59.5,80.2,76.8,63.3,,52.4
151-200,151-200,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,59.2,72.8,95.5,76.6,,24.9
151-200,201-250,The Hong Kong Polytechnic University,Hong Kong SAR,61.1,63.8,92,81.1,,36.9
151-200,151-200,The University of Auckland,New Zealand,58.4,75.5,86.6,70,,33.2
151-200,151-200,TU Dortmund University,Germany,67,60.4,80.1,63.8,,63.6
151-200,151-200,Universidad de Chile,Chile,66.4,76.3,70.1,61.2,,43.2
151-200,201-250,Universidad Politécnica de Madrid (UPM),Spain,58.4,73.6,75.1,61.8,,65.7
151-200,151-200,Università di Padova,Italy,57.9,68.5,81.8,73.1,,77.4
151-200,151-200,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,59.9,68.8,82.4,72.8,,67.3
151-200,251-300,Université Laval,Canada,71.8,54.7,82.3,70,,39.8
151-200,201-250,Universite libre de Bruxelles,Belgium,72.6,65.9,69.3,61.8,,50.9
151-200,151-200,Universiti Kebangsaan Malaysia (UKM),Malaysia,60.5,66.3,84.1,76.1,,70.7
151-200,151-200,Universiti Putra Malaysia (UPM),Malaysia,58.8,65.6,81.7,76.1,,67.1
151-200,151-200,University College Dublin,Ireland,62.4,72.2,76.5,66.9,,38.7
151-200,251-300,University of Cincinnati,United States,67.3,52.3,91.5,76.6,,46.6
151-200,151-200,University of Florida,United States,57.9,66,88.3,78.2,,57.8
151-200,151-200,University of Illinois at Chicago (UIC),United States,58.9,68.9,85.7,70,,45.5
151-200,101-150,University of Lisbon ,Portugal,68.3,55.9,81.5,74.3,,84
151-200,201-250,University of Notre Dame,United States,62.1,67.1,81,68.5,,52.4
151-200,101-150,University of Porto,Portugal,67.9,56.9,83.5,76.4,,73.4
151-200,201-250,University of Southampton,United Kingdom,63.3,67.7,84.3,67.3,,56.4
151-200,151-200,Washington State University,United States,61.6,64.3,89,74,,47.3
151-200,151-200,Western University,Canada,57.5,69.6,85,74.3,,52.8
151-200,101-150,Xi’an Jiaotong University,China (Mainland),60.5,62.4,86.7,88.5,,65.4
201-250,,Albert-Ludwigs-Universitaet Freiburg,Germany,61.6,63.7,80.7,63.3,,55.3
201-250,251-300,Anna University,India,51.2,64.2,78.8,80.9,,79.4
201-250,151-200,Aristotle University of Thessaloniki,Greece,58.5,61.5,82.5,67.7,,57
201-250,201-250,Arizona State University,United States,55.1,57.8,90.8,74.9,,55.8
201-250,151-200,Beijing Institute of Technology,China (Mainland),58.9,57.8,86.3,83.3,,44
201-250,151-200,Beijing University of Chemical Technology,China (Mainland),65.2,43.1,87.5,88.2,,47.2
201-250,201-250,Cairo University,Egypt,53.3,73.3,80.1,67.7,,42.5
201-250,151-200,Case Western Reserve University,United States,57.1,65.4,86,68.1,,36.1
201-250,151-200,Colorado School of Mines,United States,61.5,66.5,80.2,68.1,,34.1
201-250,151-200,Dalian University of Technology,China (Mainland),63.3,48,85.8,88.7,,48.2
201-250,251-300,Hacettepe University ,Turkey,67.2,60.7,70.2,62.3,,33.7
201-250,151-200,Heriot-Watt University,United Kingdom,62.5,67.6,77.6,65.6,,49.9
201-250,201-250,Indian Institute of Technology Guwahati (IITG),India,61.1,66.4,81.1,74,,37.8
201-250,201-250,Inha University,South Korea,54.2,62.2,85.6,78.5,,42.1
201-250,201-250,Iowa State University,United States,56.5,65.3,85.7,76.4,,36.7
201-250,,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,62.6,71.5,62.5,51.4,,54.2
201-250,151-200,National Research Tomsk Polytechnic University,Russia,63.8,62.8,74.2,65.6,,70.4
201-250,201-250,Northeastern University,United States,58.1,57.9,86.6,69.3,,58.8
201-250,151-200,Novosibirsk State University,Russia,62.3,66.8,73.8,65.2,,47
201-250,151-200,Queen's University at Kingston,Canada,58.2,70.3,75.4,60.7,,41.2
201-250,,Queensland University of Technology (QUT),Australia,53.9,64.5,92.2,77.2,,53.1
201-250,,Ruhr-Universität Bochum,Germany,63.9,48.8,86.7,74,,61.6
201-250,151-200,Rutgers University–New Brunswick,United States,54.7,66.6,88.2,74.9,,35.9
201-250,,Saint Petersburg State University,Russia,63.9,67.2,71.8,59.6,,67
201-250,151-200,Sun Yat-sen University,China (Mainland),53,52.9,91.9,89,,63.6
201-250,151-200,Swansea University,United Kingdom,57.9,67.9,83.3,68.5,,59.8
201-250,201-250,Technion - Israel Institute of Technology,Israel,67.6,57.4,83.6,66.5,,37.5
201-250,201-250,"The University of Newcastle, Australia (UON)",Australia,58.4,62.5,86.4,73.4,,42.5
201-250,151-200,The University of Western Australia,Australia,58.3,68.4,80.7,66.5,,46.5
201-250,,Ulsan National Institute of Science and Technology (UNIST),South Korea,58.6,57.9,90.8,76.6,,32.6
201-250,,Universidad de Concepción,Chile,63.7,71.1,68.1,61.8,,52
201-250,201-250,Universidad de los Andes,Colombia,64.2,77.7,54.1,53.7,,29.8
