2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
201-230,,City University of Hong Kong,Hong Kong SAR,59.4,78.1,75.5,59.5,,
201-230,101-150,City University of New York,United States,54.9,55.2,86.3,82.1,,
201-230,201-230,Deakin University,Australia,51.1,63.8,91.2,81,,
201-230,,Eötvös Loránd University,Hungary,62.3,60,74,61.9,,
201-230,201-230,European University at St. Petersburg,Russia,66,62.7,62,56.8,,
201-230,,Gadjah Mada University,Indonesia,67.1,69.6,58,53.7,,
201-230,201-230,Karl-Franzens-Universitaet Graz,Austria,59.7,56.9,77.4,66.3,,
201-230,201-230,Kazan (Volga region) Federal University,Russia,57,68.5,79.2,66.3,,
201-230,151-200,Korea University,South Korea,70,81.2,51.7,35.8,,
201-230,201-230,La Trobe University,Australia,56.3,67.6,84.9,73.2,,
201-230,,MGIMO University,Russia,60.7,72.7,71.8,56.8,,
201-230,201-230,RUDN University,Russia,58.5,67.2,74.3,66.3,,
201-230,,Scuola Normale Superiore di Pisa,Italy,63.5,70.5,67.6,56.8,,
201-230,201-230,"Stony Brook University, State University of New York",United States,58.7,36,90.1,73.2,,
201-230,,Universidad Nacional de San Martín (UNSAM),Argentina,65.1,56.6,65.6,56.8,,
201-230,201-230,Universidade de Santiago de Compostela,Spain,58.3,63.4,77.7,71.6,,
201-230,201-230,Università Cattolica del Sacro Cuore,Italy,65,69.8,71.5,50.3,,
201-230,,Universitat Pompeu Fabra (Barcelona),Spain,59.5,63.9,78.8,68.2,,
201-230,201-230,"University of California, Santa Barbara (UCSB)",United States,56.5,73,81.5,71.6,,
201-230,201-230,University of Granada,Spain,57.8,55.3,82.5,74.7,,
201-230,101-150,University of Leicester,United Kingdom,54.2,64.7,89.3,78.6,,
201-230,201-230,University of Lisbon ,Portugal,58.4,41.2,83.1,78.6,,
201-230,,University of Turin,Italy,58.5,61.4,74.2,70,,
201-230,151-200,University of Witwatersrand,South Africa,54.2,52.8,91.4,82.1,,
201-230,151-200,Vanderbilt University,United States,52.7,63.5,90.8,76.1,,
201-230,151-200,Western University,Canada,52,70.7,89.6,77.4,,
