2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
151-200,101-150,Universidad Autónoma Metropolitana (UAM),Mexico,72.6,56.3,44.8,44.2,,
151-200,201-250,Universidad de la República (Udelar),Uruguay,65.6,64.4,54.9,51.9,,
151-200,151-200,Universidad Diego Portales (UDP),Chile,62.4,79.1,79.3,65.5,,
151-200,201-250,Universidade Federal de Minas Gerais      ,Brazil,63.6,64.1,67.9,61.5,,
151-200,151-200,Universidade Federal do Rio Grande Do Sul ,Brazil,65.5,49.6,64.1,59.7,,
151-200,151-200,Universität Hamburg,Germany,63.5,56.3,80.5,73,,
151-200,101-150,Université du Québec,Canada,64.9,66.4,74.2,63.2,,
151-200,151-200,Universite libre de Bruxelles,Belgium,61.1,62.4,74.5,70.8,,
151-200,151-200,Universiti Malaya (UM),Malaysia,63.2,69.5,70.3,58.7,,
151-200,151-200,University of Alberta,Canada,62.1,65.9,77.4,73,,
151-200,151-200,University of Bergen,Norway,61.9,58.2,83.1,77.4,,
151-200,201-250,"University of California, Davis",United States,57.2,67.2,86.4,82.6,,
151-200,151-200,University of Cologne,Germany,58.4,65.7,85.1,78.3,,
151-200,151-200,University of Illinois at Chicago (UIC),United States,61.4,56.1,83.3,73.5,,
151-200,151-200,University of Illinois at Urbana-Champaign,United States,61.6,60.3,82.8,81.5,,
151-200,151-200,University of Kent,United Kingdom,63.6,50.3,82.7,76.9,,
151-200,151-200,University of Milano-Bicocca ,Italy,61.9,69.8,72.8,65.5,,
151-200,151-200,University of Notre Dame,United States,61.6,62,83.9,79.1,,
151-200,201-250,University of Nottingham,United Kingdom,57.3,71,84.7,82.6,,
151-200,,University of St Andrews,United Kingdom,60.4,68.7,82.7,76.9,,
151-200,,University of Technology Sydney,Australia,60.2,66.7,76.8,70.2,,
151-200,151-200,University of Warsaw ,Poland,61.6,58,72.3,69.5,,
151-200,201-250,Vrije Universiteit Brussel (VUB),Belgium,61.9,44.9,81.7,75.5,,
151-200,201-250,Western University,Canada,60.2,66.7,80.1,78.3,,
151-200,151-200,Wuhan University,China (Mainland),58.6,80.2,79.6,66.9,,
201-250,151-200,Charles University,Czech Republic,63,58.3,64,62.3,,
201-250,201-250,Chulalongkorn University,Thailand,62.6,68.3,52.1,53.2,,
201-250,201-250,"City, University of London",United Kingdom,56.1,60.3,83.7,71.9,,
201-250,301-340,Emory University,United States,55.6,59.7,83.8,75.1,,
201-250,251-300,Florida State University,United States,58.6,49.5,84.7,80.3,,
201-250,151-200,Gadjah Mada University,Indonesia,62.6,69.5,57.2,51.9,,
201-250,201-250,Hitotsubashi University,Japan,66.3,64.1,44.4,42.3,,
201-250,201-250,Jagiellonian University,Poland,60.4,60,61.2,54.4,,
201-250,201-250,Keio University,Japan,64.1,67.3,46.1,40.3,,
201-250,201-250,Linköping University,Sweden,59.2,48.8,83.6,75.1,,
201-250,201-250,London School of Hygiene & Tropical Medicine,United Kingdom,56.1,58.9,79.2,71.9,,
201-250,201-250,National Chengchi University,Taiwan,59.7,65.2,62.2,54.4,,
201-250,251-300,Queen's University at Kingston,Canada,55,69.6,80.6,72.5,,
201-250,151-200,Radboud University ,Netherlands,60.1,43.8,84.1,78.7,,
201-250,301-340,Rice University,United States,56.8,63.6,81.8,73.5,,
201-250,201-250,Saint Petersburg State University,Russia,59.9,74.4,49.7,55.5,,
201-250,,Tampere University,Finland,59.8,36.1,81.2,77.8,,
201-250,251-300,Tel Aviv University,Israel,57.4,43.8,77.9,75.1,,
201-250,251-300,The Hong Kong Polytechnic University,Hong Kong SAR,56.8,73.3,82.1,74.1,,
201-250,201-250,The Open University,United Kingdom,55.8,63.4,82.3,73.5,,
201-250,151-200,The University of Adelaide,Australia,57.3,69.9,74.8,64.7,,
201-250,201-250,Tilburg University,Netherlands,58.4,48.6,84.8,77.8,,
201-250,151-200,Universidad Carlos III de Madrid (UC3M),Spain,57.9,67.2,73.9,67.6,,
201-250,251-300,Universidad de Costa Rica,Costa Rica,66.7,50.6,45,46,,
201-250,301-340,Universidad de Santiago de Chile (USACH),Chile,63.5,74.5,47.3,44.2,,
201-250,151-200,Universidad Nacional de La Plata (UNLP),Argentina,66.1,71.1,38.5,40.3,,
201-250,201-250,Università Cattolica del Sacro Cuore,Italy,56.8,70.5,78.4,70.8,,
201-250,201-250,Universitas Indonesia,Indonesia,61,71.6,57.5,53.2,,
201-250,151-200,Universität Konstanz,Germany,57.6,50.1,86,76,,
201-250,151-200,University at Albany SUNY,United States,60.8,35.2,79.4,73.5,,
201-250,201-250,University of Antwerp,Belgium,58.2,51.1,81.4,76.5,,
201-250,201-250,"University of California, Santa Barbara (UCSB)",United States,55.6,50.7,85.9,79.5,,
201-250,201-250,"University of California, Santa Cruz",United States,59.5,56.5,73.1,65.5,,
201-250,201-250,University of Cape Town,South Africa,56.1,55.9,78.4,73.5,,
201-250,251-300,University of Coimbra,Portugal,59.6,54.3,68.8,64,,
201-250,201-250,University of Colorado Boulder,United States,53.1,66.9,85.6,81.5,,
201-250,201-250,University of Hawaiʻi at Mānoa,United States,53.6,82.5,75.8,68.3,,
201-250,151-200,University of Leicester,United Kingdom,55.8,59.8,84.8,78.7,,
201-250,201-250,University of Lisbon ,Portugal,62.1,48.1,70.4,70.2,,
201-250,201-250,University of Liverpool,United Kingdom,54.7,62.2,81.9,79.1,,
201-250,201-250,University of Massachusetts Amherst,United States,56.6,61.8,84.1,76.9,,
201-250,251-300,University of Ottawa,Canada,55.7,72.1,77.4,77.8,,
201-250,151-200,University of Pittsburgh,United States,56.7,61,82.3,81.1,,
201-250,201-250,University of South Australia,Australia,56.7,66.5,77.6,68.3,,
201-250,151-200,University of Southampton,United Kingdom,55.8,60.4,88.8,84,,
201-250,251-300,University of Surrey,United Kingdom,56.5,59.1,85.5,74.1,,
201-250,201-250,University of Turin,Italy,56,63,70.3,70.2,,
201-250,201-250,University of Turku,Finland,59.2,47.7,85.1,77.4,,
201-250,201-250,University of Virginia,United States,54.5,59.7,84.3,81.5,,
201-250,151-200,Vanderbilt University,United States,57.8,50.8,85.6,83.6,,
251-300,301-340,Airlangga University,Indonesia,58.4,68.5,50.7,49.1,,
251-300,201-250,Albert-Ludwigs-Universitaet Freiburg,Germany,53.6,64.5,75.7,69.5,,
251-300,251-300,"Birkbeck, University of London",United Kingdom,54.9,47.2,80.6,68.3,,
251-300,201-250,Chung-Ang University (CAU),South Korea,58.6,67.5,60.8,54.4,,
251-300,301-340,Dartmouth College,United States,49.8,55.8,97.2,82.6,,
251-300,251-300,Dublin City University,Ireland,53.7,67.2,74.7,64,,
251-300,251-300,Eberhard Karls Universität Tübingen,Germany,54.2,66.4,72.7,61.5,,
251-300,151-200,Ewha Womans University,South Korea,59.1,65.9,64.1,54.4,,
251-300,201-250,George Washington University,United States,50,68.9,88.5,82.9,,
251-300,301-340,Hokkaido University,Japan,62.1,56.1,46.1,40.3,,
251-300,201-250,Karolinska Institute,Sweden,56.3,55.5,72.9,63.2,,
251-300,201-250,King Abdulaziz University (KAU),Saudi Arabia,59.4,58.8,66.7,56.6,,
251-300,,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,62.8,75,32.7,29.6,,
251-300,201-250,Macquarie University,Australia,54.1,63.7,80,73,,
251-300,301-340,Manchester Metropolitan University (MMU),United Kingdom,53.9,59.8,76.1,66.9,,
251-300,201-250,National Cheng Kung University (NCKU),Taiwan,58.5,67.7,60.7,56.6,,
251-300,251-300,National Chung Cheng University,Taiwan,62.2,63.5,36.8,40.3,,
251-300,251-300,National Taipei University,Taiwan,63,56.2,46.7,47.6,,
251-300,201-250,National Taiwan Normal University,Taiwan,60.7,63.6,54,49.1,,
251-300,251-300,National Tsing Hua University,Taiwan,62,69.5,43.1,35.5,,
251-300,,Ritsumeikan University,Japan,60.6,70.9,41.8,42.3,,
251-300,201-250,RMIT University,Australia,51.5,66.1,81.8,71.3,,
251-300,151-200,Shanghai University,China (Mainland),56.4,49,69,64,,
251-300,201-250,Simon Fraser University,Canada,51.5,59.1,84.9,75.5,,
251-300,,Syracuse University,United States,49.9,68.8,84.9,76.5,,
251-300,201-250,Tata Institute of Social Sciences,India,59,54.2,55.8,51.9,,
