2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,,Universitat de Barcelona,Spain,59.9,74.1,80.1,64.4,,
101-150,51-100,Universitat Politècnica de València,Spain,64.1,60.5,78.1,70.9,,
101-150,101-150,Universiti Sains Malaysia (USM),Malaysia,58.9,73.2,86,75.6,,
101-150,101-150,University College Dublin,Ireland,56.1,78.1,90.9,73.4,,
101-150,101-150,University of Cape Town,South Africa,60.3,60.8,82.7,68.9,,
101-150,,University of Chicago,United States,59.4,72.3,75.8,53.5,,
101-150,101-150,University of Glasgow,United Kingdom,59.4,64.1,87.8,69.6,,
101-150,101-150,University of Illinois at Chicago (UIC),United States,59.4,55.8,86,68.9,,
101-150,,University of Leeds,United Kingdom,56.5,65.2,95.7,87.5,,
101-150,101-150,University of Lisbon ,Portugal,56.4,62,85,85.4,,
101-150,101-150,University of Liverpool,United Kingdom,58.3,70.7,87.2,71.5,,
101-150,,"University of North Carolina, Chapel Hill",United States,60.6,59.7,80.8,68.9,,
101-150,101-150,University of South Australia,Australia,57,54.7,88.3,73.9,,
101-150,51-100,University of Washington,United States,61.7,59.9,88.1,78.6,,
101-150,101-150,University of Waterloo,Canada,60,70.9,89.9,78.6,,
101-150,,Utrecht University,Netherlands,55.1,70,99.5,83.9,,
101-150,101-150,Wageningen University & Research,Netherlands,59.7,70.8,91.5,72.2,,
101-150,101-150,Waseda University,Japan,60.4,75.2,69.8,52.3,,
151-200,151-200, Western Sydney University,Australia,53.3,61.3,91.1,77.2,,
151-200,101-150,Alma Mater Studiorum - University of Bologna,Italy,55,74.7,80.7,73.9,,
151-200,151-200,American University of Beirut (AUB),Lebanon,53.4,82.5,68.7,58,,
151-200,151-200,American University of Sharjah,United Arab Emirates,55.4,86.6,69.7,55.9,,
151-200,151-200,Cairo University,Egypt,52.1,82,83.4,66,,
151-200,201-240,Czech Technical University in Prague,Czech Republic,56.6,61,62.3,63.6,,
151-200,,Duy Tan University,Vietnam,56.7,42.3,98.1,74.5,,
151-200,101-150,Graz University of Technology,Austria,59,51.2,77.9,61.9,,
151-200,151-200,Illinois Institute of Technology,United States,59.3,53.4,70.8,59,,
151-200,151-200,Indian Institute of Technology Kharagpur (IIT-KGP),India,53.9,58.5,83.2,69.6,,
151-200,151-200,Indian Institute of Technology Roorkee (IITR),India,54.1,55.6,85.7,73.4,,
151-200,151-200,King Abdulaziz University (KAU),Saudi Arabia,47.9,72.7,96.6,75.6,,
151-200,101-150,Kyushu University,Japan,56.8,64.1,79,60,,
151-200,151-200,Michigan State University,United States,51.7,60.9,87.6,75.6,,
151-200,151-200,Middle East Technical University,Turkey,55.7,79.8,80.9,64.4,,
151-200,151-200,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,55.8,62.9,78.5,61,,
151-200,101-150,National Technical University of Athens,Greece,53.4,67.3,84.9,80.9,,
151-200,151-200,Osaka University,Japan,59.5,65.8,66.2,51,,
151-200,201-240,Politecnico di Bari,Italy,55.2,56.3,86.8,73.4,,
151-200,201-240,Pontificia Universidad Católica del Perú,Peru,57.5,72.1,59.3,46.6,,
151-200,151-200,Queen's University Belfast,United Kingdom,52.4,66.2,86.4,67.5,,
151-200,151-200,Ryerson University,Canada,52.5,62.8,91,76.6,,
151-200,151-200,Saint Petersburg State University of Architecture and Civil Engineering (SpBGASU) ,Russia,48.3,62.8,95.8,88.2,,
151-200,151-200,Singapore University of Technology and Design,Singapore,55.6,62.4,79.6,61,,
151-200,101-150,Sungkyunkwan University(SKKU),South Korea,53,68.3,81.7,59,,
151-200,151-200,Syracuse University,United States,57.8,66.2,74.7,54.7,,
151-200,151-200,Technical University of Darmstadt,Germany,57.1,48.6,80,66.8,,
151-200,151-200,Technion - Israel Institute of Technology,Israel,55.8,36.6,86,76.1,,
