core_id,country,city,guide,nid,title,logo,score,rank_display,asia_overall_ranking,europe_overall_ranking,region,stars,recm,dagger,redact,program_type
655,United States,Blacksburg,,297206,"<div class=""td-wrap""><a href=""/universities/virginia-polytechnic-institute-state-university"" class=""uni-link"">Virginia Polytechnic Institute and State University</a></div>",/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_small.jpg,,201-250,,,North America,,0--,False,False,
14128,Belarus,Minsk,,293625,"<div class=""td-wrap""><a href=""/universities/belarusian-state-university"" class=""uni-link"">Belarusian State University</a></div>",/sites/default/files/belarusian-state-university_14128_small.jpg,,251-300,,,Europe,,0--,False,True,
902,India,Pilani,,297324,"<div class=""td-wrap""><a href=""/universities/birla-institute-technology-science-pilani"" class=""uni-link"">Birla Institute of Technology and Science, Pilani</a></div>",/sites/default/files/birla-institute-of-technology-and-science-pilani_592560cf2aeae70239af4e0e_small.jpg,,251-300,,,Asia,,0--,False,False,
102,United States,Cleveland,,294554,"<div class=""td-wrap""><a href=""/universities/case-western-reserve-university"" class=""uni-link"">Case Western Reserve University</a></div>",/sites/default/files/case-western-reserve-university_102_small.jpg,,251-300,,,North America,,0--,False,False,
160,Indonesia,Semarang,,294276,"<div class=""td-wrap""><a href=""/universities/diponegoro-university"" class=""uni-link"">Diponegoro University</a></div>",/sites/default/files/diponegoro-university_592560cf2aeae70239af4b23_small.jpg,,251-300,,,Asia,,0--,False,False,
876,China (Mainland),Shanghai,,297015,"<div class=""td-wrap""><a href=""/universities/east-china-university-science-technology"" class=""uni-link"">East China University of Science and Technology</a></div>",/sites/default/files/east-china-university-of-science-and-technology_876_small.jpg,,251-300,,,Asia,,0--,False,False,
191,Germany,Erlangen,,294454,"<div class=""td-wrap""><a href=""/universities/friedrich-alexander-universitat-erlangen-nurnberg"" class=""uni-link"">Friedrich-Alexander-Universität Erlangen-Nürnberg</a></div>",/sites/default/files/friedrich-alexander-universitt-erlangen-nrnberg_191_small.jpg,,251-300,,,Europe,,0--,False,False,
206,Brazil,São Paulo,,294417,"<div class=""td-wrap""><a href=""/universities/fundacao-getulio-vargas-fgv"" class=""uni-link"">Fundação Getulio Vargas (FGV)</a></div>",/sites/default/files/fundao-getulio-vargas-fgv_206_small.jpg,,251-300,,,Latin America,,0--,False,False,
33951,France,Nantes,,378173,"<div class=""td-wrap""><a href=""/universities/imt-atlantique"" class=""uni-link"">IMT Atlantique</a></div>",/sites/default/files/imt-atlantique_5a53028cca24f32bec6e7157_small.jpg,,251-300,,,Europe,,0--,False,False,
284,India,Kanpur,,294240,"<div class=""td-wrap""><a href=""/universities/indian-institute-technology-kanpur-iitk"" class=""uni-link"">Indian Institute of Technology Kanpur (IITK)</a></div>",/sites/default/files/indian-institute-of-technology-kanpur-iitk_592560cf2aeae70239af4ba5_small.jpg,,251-300,,,Asia,,0--,False,False,
2461,France,Lyon,,293278,"<div class=""td-wrap""><a href=""/universities/institut-national-des-sciences-appliquees-de-lyon-insa"" class=""uni-link"">Institut National des Sciences Appliquées de Lyon (INSA)</a></div>",/sites/default/files/institut-national-des-sciences-appliques-de-lyon-insa_2461_small.jpg,,251-300,,,Europe,,0--,False,False,
308,Japan,Kanazawa,,294171,"<div class=""td-wrap""><a href=""/universities/kanazawa-university"" class=""uni-link"">Kanazawa University</a></div>",/sites/default/files/kanazawa-university_592560cf2aeae70239af4bb7_small.jpg,,251-300,,,Asia,,0--,False,False,
779,Saudi Arabia,Dhahran,,297053,"<div class=""td-wrap""><a href=""/universities/king-fahd-university-petroleum-minerals"" class=""uni-link"">King Fahd University of Petroleum & Minerals</a></div>",/sites/default/files/king-fahd-university-of-petroleum-minerals_779_small.jpg,,251-300,,,Asia,,0--,False,False,
