2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
151-200,151-200,University of Liverpool,United Kingdom,,,,,,48.6
151-200,151-200,University of Milano-Bicocca ,Italy,,,,,,54.5
151-200,201-230,University of Naples - Federico II,Italy,,,,,,69.6
151-200,151-200,"University of North Carolina, Chapel Hill",United States,,,,,,56.9
151-200,151-200,University of Nottingham,United Kingdom,,,,,,52.8
151-200,151-200,University of Utah,United States,,,,,,58.3
151-200,101-150,University of Victoria (UVic),Canada,,,,,,53
151-200,151-200,University of Virginia,United States,,,,,,56.3
151-200,151-200,University of Waterloo,Canada,,,,,,45.9
151-200,151-200,University of Wollongong,Australia,,,,,,54.4
151-200,101-150,Yonsei University,South Korea,,,,,,46.1
151-200,151-200,Zhejiang University,China (Mainland),,,,,,46.4
201-240,201-230,Aberystwyth University,United Kingdom,,,,,,47.5
201-240,151-200,Boston University,United States,,,,,,56.1
201-240,,Charles University,Czech Republic,,,,,,62.8
201-240,201-230,Eötvös Loránd University,Hungary,,,,,,53
201-240,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,,,,,,66.5
201-240,201-230,George Mason University,United States,,,,,,56.2
201-240,151-200,Indian Institute of Science,India,,,,,,35
201-240,,Indian Institute of Technology Kharagpur (IIT-KGP),India,,,,,,33.3
201-240,,Iowa State University,United States,,,,,,53.2
201-240,,Istanbul Technical University,Turkey,,,,,,48.3
201-240,151-200,King Abdulaziz University (KAU),Saudi Arabia,,,,,,57.9
201-240,,King's College London,United Kingdom,,,,,,37.9
201-240,,National Central University,Taiwan,,,,,,58.6
201-240,201-230,Norwegian University of Science And Technology,Norway,,,,,,49.5
201-240,151-200,Ocean University of China,China (Mainland),,,,,,41.3
201-240,151-200,Queen's University at Kingston,Canada,,,,,,43.1
201-240,151-200,Rice University,United States,,,,,,42.9
201-240,151-200,RWTH Aachen University,Germany,,,,,,55.6
201-240,201-230,"Stony Brook University, State University of New York",United States,,,,,,42.2
201-240,151-200,The University of Sheffield,United Kingdom,,,,,,53.1
201-240,,Università degli studi Roma Tre,Italy,,,,,,47.4
201-240,201-230,Université de Montréal ,Canada,,,,,,46.6
201-240,151-200,Université de Rennes 1 (University of Rennes),France,,,,,,59.5
201-240,201-230,University of Alaska Fairbanks,United States,,,,,,42
201-240,151-200,University of Cologne,Germany,,,,,,61.4
201-240,151-200,University of Delaware,United States,,,,,,60.9
201-240,151-200,"University of Maryland, Baltimore County",United States,,,,,,57.5
201-240,151-200,University of Massachusetts Amherst,United States,,,,,,50.2
201-240,151-200,University of Milan,Italy,,,,,,43.5
201-240,,University of Nebraska - Lincoln,United States,,,,,,39.6
201-240,201-230,University of Oregon,United States,,,,,,46.2
201-240,201-230,University of Otago,New Zealand,,,,,,34.2
201-240,151-200,University of Pennsylvania,United States,,,,,,40
201-240,151-200,University of Pisa,Italy,,,,,,64.6
201-240,201-230,University of Saskatchewan,Canada,,,,,,45.7
201-240,151-200,University of Southern California,United States,,,,,,51.1
201-240,201-230,University of Tsukuba,Japan,,,,,,49
201-240,201-230,University of Witwatersrand,South Africa,,,,,,57
201-240,,University of York,United Kingdom,,,,,,55.3
201-240,201-230,Western University,Canada,,,,,,52.8
