2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
151-200,151-200,Wuhan University of Technology,China (Mainland),,,,,,66.6
151-200,151-200,Xiamen University,China (Mainland),,,,,,54.1
201-250,251-300,Anna University,India,,,,,,88
201-250,151-200,Boston University,United States,,,,,,58.4
201-250,201-250,Brno University of Technology,Czech Republic,,,,,,87.6
201-250,151-200,Brown University,United States,,,,,,45.7
201-250,151-200,Case Western Reserve University,United States,,,,,,60.5
201-250,151-200,Complutense University of Madrid,Spain,,,,,,57.3
201-250,151-200,Dalian University of Technology,China (Mainland),,,,,,61.7
201-250,201-250,Drexel University,United States,,,,,,52.1
201-250,151-200,Graz University of Technology,Austria,,,,,,65.2
201-250,201-250,Indian Institute of Technology Roorkee (IITR),India,,,,,,55.5
201-250,201-250,Iowa State University,United States,,,,,,64.1
201-250,201-250,Jeonbuk National University,South Korea,,,,,,56.1
201-250,201-250,Michigan State University,United States,,,,,,63.8
201-250,201-250,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,,,,,,66.1
201-250,201-250,National Cheng Kung University (NCKU),Taiwan,,,,,,49
201-250,201-250,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,,,,,,57.8
201-250,151-200,Northwestern Polytechnical University,China (Mainland),,,,,,62.4
201-250,251-300,Qatar University,Qatar,,,,,,84.9
201-250,,Ruprecht-Karls-Universität Heidelberg,Germany,,,,,,57.2
201-250,251-300,Southern University of Science and Technology,China (Mainland),,,,,,62.1
201-250,201-250,Stockholm University,Sweden,,,,,,67.1
201-250,201-250,"The University of Tennessee, Knoxville",United States,,,,,,62.4
201-250,251-300,Tokyo University of Science,Japan,,,,,,46.3
201-250,151-200,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,58.6
201-250,201-250,Universidade Federal de São Carlos (UFSCar),Brazil,,,,,,65
201-250,151-200,Università di Padova,Italy,,,,,,68.5
201-250,,Universität Hamburg,Germany,,,,,,79.2
201-250,201-250,Université Claude Bernard Lyon 1,France,,,,,,88.5
201-250,151-200,Université de Lorraine,France,,,,,,98.3
201-250,301-350,Université Paul Sabatier Toulouse III,France,,,,,,88.6
201-250,201-250,Universiti Kebangsaan Malaysia (UKM),Malaysia,,,,,,75
201-250,201-250,Universiti Sains Malaysia (USM),Malaysia,,,,,,78.5
201-250,151-200,University of Amsterdam,Netherlands,,,,,,49.6
201-250,201-250,"University of California, Davis",United States,,,,,,69.5
201-250,201-250,"University of California, Irvine",United States,,,,,,60.2
201-250,151-200,University of Colorado Boulder,United States,,,,,,54.4
201-250,,University of Copenhagen,Denmark,,,,,,61.1
201-250,201-250,University of Helsinki,Finland,,,,,,63.4
201-250,151-200,University of Illinois at Chicago (UIC),United States,,,,,,46.9
201-250,251-300,University of Minho,Portugal,,,,,,74.2
201-250,,University of Naples - Federico II,Italy,,,,,,75.2
201-250,251-300,University of Pittsburgh,United States,,,,,,54.5
201-250,201-250,"University of Rome ""Tor Vergata""",Italy,,,,,,71.4
201-250,151-200,University of Southern California,United States,,,,,,48.6
201-250,201-250,University of St Andrews,United Kingdom,,,,,,72
201-250,201-250,University of Strathclyde,United Kingdom,,,,,,76.3
201-250,,University of the Basque Country,Spain,,,,,,90.6
201-250,201-250,Ural Federal University - UrFU,Russia,,,,,,82.2
201-250,201-250,Utrecht University,Netherlands,,,,,,65.6
201-250,,Vellore Institute of Technology (VIT),India,,,,,,79.7
201-250,201-250,Warsaw University of Technology,Poland,,,,,,71.6
251-300,251-300,AGH University of Science and Technology,Poland,,,,,,77.6
251-300,,Albert-Ludwigs-Universitaet Freiburg,Germany,,,,,,60.8
251-300,201-250,"Arts et Métiers, ParisTech",France,,,,,,70.6
251-300,201-250,Beijing University of Chemical Technology,China (Mainland),,,,,,41.2
251-300,251-300,Charles University,Czech Republic,,,,,,69.3
251-300,251-300,Chulalongkorn University,Thailand,,,,,,51.8
251-300,201-250,Czech Technical University in Prague,Czech Republic,,,,,,68.1
251-300,,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,,,,,,37.2
251-300,251-300,Donghua University,China (Mainland),,,,,,56.8
251-300,151-200,Gwangju Institute of Science and Technology (GIST),South Korea,,,,,,44.2
251-300,201-250,ITMO University,Russia,,,,,,75.1
251-300,251-300,Khalifa University of Science and Technology,United Arab Emirates,,,,,,74.5
251-300,201-250,Leibniz University Hannover,Germany,,,,,,78.8
251-300,251-300,Middle East Technical University,Turkey,,,,,,49.8
251-300,201-250,Nanjing University of Aeronautics and Astronautics,China (Mainland),,,,,,66.5
251-300,251-300,National Technical University of Athens,Greece,,,,,,55.1
251-300,251-300,National University of Sciences And Technology (NUST) Islamabad,Pakistan,,,,,,59.8
251-300,,National Yang Ming Chiao Tung University,Taiwan,,,,,,52.7
251-300,,New York University (NYU),United States,,,,,,47.8
251-300,201-250,Newcastle University,United Kingdom,,,,,,60.4
251-300,201-250,Pusan National University,South Korea,,,,,,52.6
