2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
201-240,,Sejong University ,South Korea,,,,,,50.9
201-240,201-230,"Stony Brook University, State University of New York",United States,,,,,,45.4
201-240,201-230,The Hebrew University of Jerusalem,Israel,,,,,,46.6
201-240,,Università degli studi Roma Tre,Italy,,,,,,49.7
201-240,201-230,Université de Montréal ,Canada,,,,,,48.4
201-240,151-200,Université de Rennes 1 (University of Rennes),France,,,,,,64.8
201-240,201-230,University of Alaska Fairbanks,United States,,,,,,45
201-240,151-200,University of Cologne,Germany,,,,,,62.9
201-240,201-230,University of Delaware,United States,,,,,,65.8
201-240,,University of Gothenburg,Sweden,,,,,,53.7
201-240,151-200,"University of Maryland, Baltimore County",United States,,,,,,61
201-240,201-230,University of Massachusetts Amherst,United States,,,,,,52.3
201-240,151-200,University of Milan,Italy,,,,,,41.4
201-240,201-230,University of Milano-Bicocca ,Italy,,,,,,49.9
201-240,201-230,University of Oregon,United States,,,,,,46.8
201-240,,University of Otago,New Zealand,,,,,,36.6
201-240,151-200,University of Pisa,Italy,,,,,,65.3
201-240,201-230,University of Porto,Portugal,,,,,,64.6
201-240,201-230,University of Saskatchewan,Canada,,,,,,43.8
201-240,151-200,University of Southern California,United States,,,,,,59.7
201-240,201-230,University of Tsukuba,Japan,,,,,,50
201-240,,University of York,United Kingdom,,,,,,51.1
201-240,151-200,Western University,Canada,,,,,,56.4
